episode,timestep,reward,length,kill,death,crash,lock_progress,distance
1,50,0.4394,50,0,0,1,0.0000,11.5548
2,100,0.3751,50,0,0,1,0.0000,12.1156
3,150,0.4855,50,0,0,1,0.0000,9.8643
4,200,0.4096,50,0,0,1,0.0000,10.8672
5,250,0.4203,50,0,0,1,0.0000,11.6575
6,289,-49.6595,39,0,0,1,0.0000,11.4511
7,339,0.4238,50,0,0,1,0.0000,11.9546
8,389,0.4685,50,0,0,1,0.0000,10.1557
9,439,0.4406,50,0,0,1,0.0000,10.7493
10,489,0.4932,50,0,0,1,0.0000,10.0884
11,537,-49.5540,48,0,0,1,0.0000,10.7436
12,587,0.4646,50,0,0,1,0.0000,10.2501
13,637,0.4195,50,0,0,1,0.0000,10.7576
14,687,0.4502,50,0,0,1,0.0000,11.0481
15,737,0.4371,50,0,0,1,0.0000,11.1448
16,787,0.4293,50,0,0,1,0.0000,11.1052
17,837,0.4519,50,0,0,1,0.0000,10.8746
18,887,0.4422,50,0,0,1,0.0000,11.0034
19,937,0.4634,50,0,0,1,0.0000,10.5867
20,987,0.4770,50,0,0,1,0.0000,10.7935
